Year,N_y_C,N_m_C,N_o_C,psi_y_C,psi_o_C,n_m_C,psi_y_C_s,psi_o_C_s,n_m_C_s,gamma_C_path,phi_C_path
2055,NaN,NaN,NaN,0.0956451813471503,0.661998730285714,-0.012455368139942,0.0962826653480596,0.664772026605688,-0.0121292721934033,0.965731001079729,0.0183363091030525
2056,NaN,NaN,NaN,0.0959855570346976,0.67238271641018,-0.0132179988271922,0.0967171476008432,0.675224706649899,-0.0121424791676134,0.965783425024839,0.0185166293725012
2057,NaN,NaN,NaN,0.0969125138328096,0.68273272794069,-0.0128274972883097,0.0972581063485613,0.685412584094168,-0.0120475372689949,0.965834105328132,0.0187126676069406
2058,NaN,NaN,NaN,0.0978422287174589,0.692264460174753,-0.0124110494272345,0.0978804726477873,0.695236848629934,-0.011853920224703,0.965835150756511,0.0189137202546152
2059,NaN,NaN,NaN,0.0982546004430056,0.70856877613787,-0.0113244065857746,0.0985555543150954,0.704570855262929,-0.0115791025850234,0.96573212190139,0.0191099913231272
2060,NaN,NaN,NaN,0.0999034595431833,0.731080316351741,-0.0111381779547306,0.099253313170243,0.713270161879191,-0.0112451948949053,0.965480327230235,0.0192927468676022
2061,NaN,NaN,NaN,0.100653006747459,0.731619860027057,-0.010597372022452,0.0999427145463784,0.721242227794922,-0.0108733503394752,0.965132070797433,0.0194533518610431
2062,NaN,NaN,NaN,0.101303092148165,0.733811662904036,-0.0102985537130988,0.10059779098847,0.728538647294331,-0.0104831080599592,0.96486488326743,0.0195890418378416
2063,NaN,NaN,NaN,0.101737555768565,0.733687166111503,-0.0100769855863121,0.101199640052153,0.735319758262658,-0.0100916578969853,0.964806967245767,0.0197001351146726
2064,NaN,NaN,NaN,0.102041325635747,0.733999732109153,-0.00975475243417379,0.101736210155953,0.741796129397463,-0.0097144575901461,0.965008724958577,0.0197881860152888
2065,NaN,NaN,NaN,0.10222842069353,0.73908732426563,-0.00971653992704635,0.102200773084567,0.748163087392463,-0.00936662321447937,0.965434163469667,0.0198545288260925
2066,NaN,NaN,NaN,0.102584520085833,0.749004693425139,-0.00926623802586723,0.102589607399195,0.754545430415399,-0.00906410657528886,0.965974080246366,0.0198991057965584
2067,NaN,NaN,NaN,0.102879517665442,0.758700439567473,-0.00813907515644197,0.102899682938148,0.760984387295984,-0.00882562394445221,0.966500088489871,0.0199198431131768
2068,NaN,NaN,NaN,0.103546278812579,0.767702333575603,-0.00744820267909752,0.103127947878259,0.767464751411382,-0.00867068602773068,0.966919056157129,0.0199140114710043
2069,NaN,NaN,NaN,0.103705004409772,0.773821528161788,-0.00733734367579553,0.103271910299611,0.773947008149295,-0.0086124625425857,0.967186332879254,0.019880126537847
2070,NaN,NaN,NaN,0.103290923244647,0.781325396423022,-0.00778050494785398,0.103332590492008,0.780389186501701,-0.00865258852457744,0.967297233659516,0.0198209678656129
2071,NaN,NaN,NaN,0.103352243759397,0.788343429117967,-0.00882204375809248,0.103314559317859,0.786750446558449,-0.00878058614328544,0.96726393643786,0.0197413245363069
2072,NaN,NaN,NaN,0.103710131212197,0.795646817497694,-0.00887493939313777,0.103222899608535,0.792998723396356,-0.00897802808081638,0.967116271643737,0.0196445140629789
2073,NaN,NaN,NaN,0.103059391214487,0.800116584699282,-0.00915523062143209,0.103063698071032,0.799118713429376,-0.00922512449098537,0.966895306629238,0.0195346029389974
2074,NaN,NaN,NaN,0.102824463360244,0.799302268807459,-0.0097947324522879,0.102846378624468,0.805117307061758,-0.00950134345520777,0.966649382656336,0.0194182414012066
2075,NaN,NaN,NaN,0.102954291716488,0.804172040562291,-0.0103314401243659,0.102581119546399,0.811002782813788,-0.00978600276000197,0.966401169765339,0.0193001575278198
2076,NaN,NaN,NaN,0.102134004978935,0.814844718095488,-0.0101642374076945,0.102278572522223,0.816734441050873,-0.0100611964536424,0.966109034386514,0.0191846320739596
2077,NaN,NaN,NaN,0.102115528116689,0.825310584202264,-0.010783488511006,0.101951621907156,0.822212612895632,-0.0103133589537784,0.965715169385623,0.0190773002167291
2078,NaN,NaN,NaN,0.101970763469779,0.831166909101917,-0.0105660591237168,0.10161308270996,0.827318619937409,-0.0105313282651597,0.965207591715339,0.0189816644541821
2079,NaN,NaN,NaN,0.101463906833307,0.83644415901913,-0.0107979189682557,0.101277232461376,0.831957942774697,-0.010707340187219,0.964622174368958,0.0189023565122239
