Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
2017,NaN,NaN,NaN,0.123279647538414,0.283477755307619,0.00887142464909696,0.125599338406673,0.279973113480447,0.00933061147227145,0.942293825591007,0.0251608240363808
2018,NaN,NaN,NaN,0.121866115498585,0.288776076632614,0.0088613244915311,0.124252934742315,0.286987248088968,0.00884027865201802,0.944820350937464,0.0248718945834294
2019,NaN,NaN,NaN,0.121184057492998,0.293605293764011,0.00969776777854559,0.123007270157614,0.294406910928853,0.00823632339090402,0.947191010283181,0.0246180500202127
2020,NaN,NaN,NaN,0.120981036526449,0.299946804833652,0.00739898904849817,0.121872737113654,0.302253212360134,0.00751216659677031,0.949447103547588,0.0243824492923645
2021,NaN,NaN,NaN,0.121456321976566,0.308313657083669,0.00594138755964585,0.1208419311515,0.310540993302369,0.00667091544991874,0.951561717960283,0.0241498677660936
2022,NaN,NaN,NaN,0.121704260643904,0.31683313327516,0.00876324523703309,0.119899408040859,0.319264464063182,0.00571614717493444,0.95346325642488,0.0239112257822081
2023,NaN,NaN,NaN,0.121576783107674,0.323976564140383,0.00960296796528698,0.119035398156346,0.328394860062671,0.00465146561080108,0.955077723277943,0.0236695607846508
2024,NaN,NaN,NaN,0.11959162112443,0.333663196302683,0.00404996779890648,0.118257598515991,0.337875856190139,0.00350810147648993,0.956352236816904,0.023444139646874
2025,NaN,NaN,NaN,0.116462416415123,0.343293434745955,-7.95073698687532e-05,0.117596104142902,0.347610189330907,0.00235667096875411,0.957243278106669,0.0232671606547819
2026,NaN,NaN,NaN,0.11417793377439,0.35952610755548,-0.00112169076821794,0.117092363238064,0.357457522818012,0.00127567376802613,0.957720838517015,0.0231648515799612
2027,NaN,NaN,NaN,0.112590372987819,0.37229534844701,-0.00200644006687162,0.116777529124065,0.367244841375922,0.000324080579034253,0.957774942314101,0.0231414838628701
2028,NaN,NaN,NaN,0.113897821130798,0.382499934369519,-0.00224111269155577,0.116654171686256,0.376814294866204,-0.000463306508189399,0.957507566433221,0.0231781017500545
